,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
367,51.0,US,1.0,2020-03-24 23:37:31,39.80343818,-74.96388753,New Jersey,0.0
383,3.0,US,0.0,2020-03-24 23:37:31,39.15008829,-74.80170244,New Jersey,0.0
685,2.0,US,0.0,2020-03-24 23:37:31,39.37199394,-75.10712559,New Jersey,0.0
889,342.0,US,4.0,2020-03-24 23:37:31,40.78681335,-74.24657979,New Jersey,0.0
1053,19.0,US,0.0,2020-03-24 23:37:31,39.71581067,-75.13995546,New Jersey,0.0
1313,234.0,US,1.0,2020-03-24 23:37:31,40.73766234,-74.07515667,New Jersey,0.0
1324,25.0,US,0.0,2020-03-24 23:37:31,40.56335249,-74.91284156,New Jersey,0.0
1901,58.0,US,0.0,2020-03-24 23:37:31,40.28047017,-74.70479631,New Jersey,0.0
1917,277.0,US,0.0,2020-03-24 23:37:31,40.43629879,-74.41426991,New Jersey,0.0
1953,288.0,US,3.0,2020-03-24 23:37:31,40.26549699,-74.22240686,New Jersey,0.0
2018,204.0,US,1.0,2020-03-24 23:37:31,40.86095313,-74.54553709999998,New Jersey,0.0
2112,180.0,US,1.0,2020-03-24 23:37:31,39.8895449,-74.28089251,New Jersey,0.0
2207,216.0,US,0.0,2020-03-24 23:37:31,41.03238628,-74.29954144,New Jersey,0.0
2495,1.0,US,0.0,2020-03-24 23:37:31,39.58719656,-75.34696629999998,New Jersey,0.0
2640,102.0,US,1.0,2020-03-24 23:37:31,40.56465737,-74.61683016,New Jersey,0.0
2745,18.0,US,0.0,2020-03-24 23:37:31,41.13891592,-74.69118243,New Jersey,0.0
2870,645.0,US,26.0,2020-03-24 23:37:31,0.0,0.0,New Jersey,0.0
2887,246.0,US,0.0,2020-03-24 23:37:31,40.65835409,-74.30680092,New Jersey,0.0
2964,15.0,US,0.0,2020-03-24 23:37:31,40.85951833,-74.99556527,New Jersey,0.0
101,12.0,US,0.0,2020-03-25 23:33:19,39.47538693,-74.65848483,New Jersey,0.0
190,819.0,US,6.0,2020-03-25 23:33:19,40.96010917,-74.07164325,New Jersey,0.0
318,48.0,US,0.0,2020-03-25 23:33:19,39.87681124,-74.66927768,New Jersey,0.0
367,61.0,US,1.0,2020-03-25 23:33:19,39.80343818,-74.96388753,New Jersey,0.0
383,4.0,US,0.0,2020-03-25 23:33:19,39.15008829,-74.80170244,New Jersey,0.0
